Date,SOURCEURL,Label,N_label,AvgTone
2015-02-03,http://www.golocalprov.com/news/trivago.com-names-newport-a-top-20-city-to-stay-for-2015,Business_Model_Resilience,3.0,66.85755334940751
2015-02-15,http://www.dailyliberal.com.au/story/2884145/our-view-orange-and-bathurst-make-trivago-list-while-dubbo-snubbed/,Competitive_Behavior,4.0,68.27704290606326
2015-02-18,http://www.boston.com/travel/blog/2015/02/newport_ranked_high_in_trivago_ratings.html,Business_Model_Resilience,3.0,51.235688220415895
2015-03-18,http://www.huffingtonpost.co.uk/trivagocouk/uk-tours-travel_b_6887478.html,Customer_Privacy,22.0,61.00917431192661
2015-04-13,http://www.elle.com/culture/movies-tv/q-and-a/a27797/trivago-man-interview/,Employee_Engagement_Inclusion_And_Diversity,8.0,51.35685210312075
2015-04-19,http://www.naftemporiki.gr/story/1095383/trivago-rome-corfu-again-top-greek-tourists-choices-for-orthodox-easter-holidays,Customer_Privacy,22.0,57.407407407407405
2015-06-13,http://www.huffingtonpost.com/trivago/apple-vs-android-does-the_b_7575912.html,Competitive_Behavior,4.0,66.08579088471849
2015-06-15,http://www.traveltrends.biz/ttn555-sydney-burdick-head-of-global-affairs-trivago/,Employee_Engagement_Inclusion_And_Diversity,8.0,69.7817747031312
2015-06-25,http://www.huffingtonpost.co.uk/trivagocouk/mediterranean-islands_b_7660776.html,Customer_Privacy,22.0,69.790454016298
2015-07-14,http://www.mediapost.com/publications/article/253822/amazon-remains-best-perceived-trivago-is-one-to-w.html,Competitive_Behavior,4.0,59.0543259557344
2015-07-16,http://www.huffingtonpost.ca/trivagoca/french-landscapes_b_7807910.html,Employee_Engagement_Inclusion_And_Diversity,8.0,64.6396396396396
2015-08-06,http://www.tnooz.com/article/not-happy-campers-agoda-pulls-all-inventory-from-trivago/,Competitive_Behavior,4.0,54.288164665523155
2015-08-07,http://www.traveltrends.biz/ttn555-agoda-pulls-product-from-trivago/,Competitive_Behavior,4.0,50.0
2015-09-07,http://www.huffingtonpost.com/trivago/spains-swankiest-seaside_b_8075598.html,Business_Model_Resilience,3.0,83.00970873786405
2015-09-28,http://www.huffingtonpost.co.uk/trivagocouk/ten-brilliant-european-brewery-tours_b_8207178.html,Customer_Privacy,22.0,72.93202293202296
2015-10-03,http://www.irishmirror.ie/lifestyle/travel/top-travel-destinations-trivago-reveals-6539933,Systemic_Risk_Management,18.0,74.0112994350282
2015-10-05,http://www.4-traders.com/IMMOFINANZ-AG-6493710/news/IMMOFINANZ--continues-expansion-in-Germany-construction-of-corporate-headquarters-for-trivago-as-f-21144584/,Management_Of_Legal_And_Regulatory_Framework,12.0,43.125985687862354
2015-10-25,http://abcnews.go.com/Entertainment/trivago-guy-youve/story?id=34637189,Business_Model_Resilience,3.0,54.33526011560696
2015-10-30,http://www.tnooz.com/article/expedia-says-tripadvisor-and-trivago-instant-booking-are-on-the-table/,Competitive_Behavior,4.0,56.493506493506494
2015-11-09,http://www.gympietimes.com.au/news/rainbow-beach-hotels-make-trivagos-top-10/2834649/,Access_And_Affordability,2.0,68.3150183150183
2015-11-10,http://www.news.com.au/national/south-australia/coober-pedys-down-to-erth-bed-and-breakfast-rated-best-in-south-australia-by-search-site-trivago/story-fnii5yv4-1227603099232,Management_Of_Legal_And_Regulatory_Framework,12.0,74.03846153846155
2015-11-11,http://www.huffingtonpost.ca/trivagoca/hiking-hotel_b_8396996.html,Business_Model_Resilience,3.0,64.1388174807198
2015-11-12,http://www.traveldailymedia.com/229236/lake-district-hotels-make-trivago-honours-list/,Data_Security,1.0,90.90909090909089
2015-11-21,http://www.independent.ie/regionals/kerryman/news/two-placings-for-dingle-in-trivago-munster-top-five-34210021.html,Systemic_Risk_Management,18.0,73.39901477832515
2015-12-02,http://www.pedestrian.tv/news/arts-and-culture/feature-jobs-sass--bide-eg-fairfax-media-trivago-a/33d8a46f-9b31-43cd-80da-37d3202ae855.htm,Product_Design_And_Lifecycle_Management,15.0,71.2649945474373
2015-12-04,http://www.lfpress.com/2015/12/03/london-cracks-top-10-in-trivago-hotel-rankings,Systemic_Risk_Management,18.0,64.01869158878505
2015-12-23,http://ftnnews.com/tours/29288-trivago-reveals-new-year-s-eve-2015-travel-trends.html,Competitive_Behavior,4.0,63.76146788990825
2016-01-12,http://www.gazzettadelsud.it/news/english/179130/Matera--San-Gimignano-in-Trivago.html,Customer_Privacy,22.0,67.6470588235294
2016-01-12,http://www.tornosnews.gr/en/tourism-businesses/hotels/14092-trivago-athenian-hotels-among-europe-s-cheapest-in-january.html,Competitive_Behavior,4.0,42.9078014184397
2016-01-13,http://www.ansa.it/english/news/lifestyle/travel/2016/01/12/matera-san-gimignano-in-trivago-top-10_cd420615-6c64-4e44-b013-3ef54a295cb4.html,Systemic_Risk_Management,18.0,67.44186046511629
2016-02-17,http://www.joe.ie/news/two-irish-locations-have-made-trivagos-top-100-destinations-with-the-best-reputation/531428,Systemic_Risk_Management,18.0,67.0464660850988
2016-03-01,http://www.tnooz.com/article/trivago-base7booking/,Competitive_Behavior,4.0,55.402750491159146
2016-03-04,http://hoteldesigns.net/industry-news/hotel-designs-summit-welcomes-trivagos-natalie-gardner-as-speaker/,Business_Model_Resilience,3.0,67.1875
2016-03-11,http://www.greatlakesadvocate.com.au/story/3779763/forster-gets-a-top-10-trivago-rating/?cs=447,Product_Design_And_Lifecycle_Management,15.0,100.0
2016-03-13,http://www.greatlakesadvocate.com.au/story/3779763/forster-gets-a-top-10-trivago-rating/?cs=4102,Product_Design_And_Lifecycle_Management,15.0,100.0
2016-03-20,http://www.tornosnews.gr/en/tornos/trends/15100-trivago-greeks-prefer-thessaloniki-athens-nafplio-for-march-25-long-weekend.html,Business_Model_Resilience,3.0,47.19101123595505
2016-04-29,http://www.investors.com/news/technology/expedia-gallops-on-trivago-but-terror-attacks-hit-global-travel/,Systemic_Risk_Management,18.0,43.02325581395345
2016-06-09,http://www.bighospitality.co.uk/Business/INFOGRAPHICS-London-hotel-ratings-don-t-match-prices-says-Trivago,Management_Of_Legal_And_Regulatory_Framework,12.0,41.153641679957445
2016-07-11,http://www.traveldailynews.com/post/trivago-survey-summer-travel-habits-by-nationality,Management_Of_Legal_And_Regulatory_Framework,12.0,68.42105263157895
2016-07-28,http://www.bloomberg.com/news/articles/2016-07-28/expedia-backed-online-travel-booker-trivago-to-explore-ipo,Data_Security,1.0,53.597122302158276
2016-07-29,http://www.geekwire.com/2016/expedia-eyes-trivago-ipo-misses-earnings-expectations/,Business_Model_Resilience,3.0,56.80384792845609
2016-07-29,http://business-news.thestreet.com/thestreet/story/expedia-books-trivagos-ipo/13658313,Business_Model_Resilience,3.0,50.0
2016-08-31,http://www.traveldailymedia.com/240549/mena-travellers-to-stay-closer-to-home-this-eid-trivago/,Data_Security,1.0,66.54411764705881
2016-09-01,https://www.yahoo.com/news/expedia-prepares-list-trivago-hotel-155852231.html,Systemic_Risk_Management,18.0,47.101449275362334
2016-09-01,http://www.kitco.com/news/2016-09-01/UPDATE-1-Expedia-prepares-to-list-Trivago-hotel-search-platform-sources.html,Business_Model_Resilience,3.0,45.12987012987015
2016-09-02,https://www.yahoo.com/news/expedia-expe-list-trivago-hotel-131401125.html,Business_Model_Resilience,3.0,61.423468420875004
2016-09-05,https://www.yahoo.com/news/expedia-expe-list-trivago-hotel-072607124.html,Business_Model_Resilience,3.0,60.23865090717455
2016-09-08,https://uk.finance.yahoo.com/news/trivago-immofinanz-lay-cornerstone-headquarters-111521304.html,Business_Model_Resilience,3.0,63.78896882494005
2016-10-18,http://room5.trivago.sg/michelin-singapore-hotels/,Labor_Practices,11.0,65.78586135895674
2016-10-21,http://www.geekwire.com/2016/trivago-ipo-come-thanksgiving-report-says/,Systemic_Risk_Management,18.0,52.724795640326974
2016-10-29,http://www.mediapost.com/publications/article/287917/lets-send-the-trivago-guy-packing.html,Business_Ethics,0.0,36.25
2016-11-14,http://www.express.co.uk/travel/articles/732284/channel-4-supershoppers-booking-com-trivago-hotel,Competitive_Behavior,4.0,46.5217391304348
2016-11-14,https://www.yahoo.com/news/german-travel-trivago-files-ipo-us-225100754.html,Competitive_Behavior,4.0,50.0
2016-11-15,http://www.businesstimes.com.sg:80/consumer/german-travel-site-trivago-files-for-ipo-in-us,Competitive_Behavior,4.0,50.49261083743842
2016-11-15,http://www.traveldailynews.com/post/trivago-awards-2017-best-hotels-in-the-uk-announced,Management_Of_Legal_And_Regulatory_Framework,12.0,100.0
2016-11-17,http://room5.trivago.sg/henry-steiner-hotel-identity-brand/,Labor_Practices,11.0,59.218612818261605
2016-11-17,https://www.yahoo.com/news/best-hotels-america-according-trivago-112601048.html,Competitive_Behavior,4.0,78.01389607509795
2016-11-17,http://m.themalaymailonline.com/travel/article/trivago-lists-top-10-hotels-in-the-united-states,Competitive_Behavior,4.0,66.8711656441718
2016-11-18,http://www.luxuo.com/hotel/top-10-us-hotels-revealed-trivago.html,Competitive_Behavior,4.0,74.22907488986785
2016-11-21,https://www.traveldailynews.com/post/trivago-awards-2017-best-hotels-in-the-uk-announced,Management_Of_Legal_And_Regulatory_Framework,12.0,100.0
2016-11-25,http://news.gtp.gr/2016/11/25/civitels-akali-hotel-trivago-award-breakfast/,Customer_Welfare,6.0,64.79289940828406
2016-12-16,http://www.reuters.com/article/us-trivago-ipo-idUSKBN14525F,Systemic_Risk_Management,18.0,45.598644924460565
2016-12-16,https://www.yahoo.com/news/hotel-booking-platform-trivago-jumps-155930752.html,Systemic_Risk_Management,18.0,45.6268221574344
2016-12-18,https://www.thenews.com.pk/print/172573-Trivago-jumps-107pc-in-IPO-debut,Systemic_Risk_Management,18.0,45.53571428571426
2017-02-03,http://www.thetimes.co.uk/edition/business/the-beauty-of-trivago-girl-the-face-that-launched-a-thousand-holidays-ph3ckc9c6,Competitive_Behavior,4.0,44.5054945054945
2017-02-10,https://www.tnooz.com/article/trivago-expedia-reports-q4-2016/,Systemic_Risk_Management,18.0,55.64971751412424
2017-02-28,https://skift.com/2017/02/28/skift-forum-europe-trivago-johannes-thomas-managing-director-interview/,Business_Model_Resilience,3.0,59.5360824742268
2017-03-23,http://www.india.com/buzz/who-is-the-trivago-guy-meet-abhinav-kumar-india-head-at-trivago-1953736/,Management_Of_Legal_And_Regulatory_Framework,12.0,50.0
